Nr,Alter,Geschlecht,Beruf,Ausbildung,Beschreibung,Eindruck,Kauf
1,25,Frau,Hausfrau/-mann,Realschule,"lecker,aaber nichts für Kinder",5,wahrscheinlich_nicht
2,43,Frau,Angestellter,Lehre,ich finde es überflüßig,3,wahrscheinlich_nicht
3,40,Frau,Angestellter,Lehre,Für Feingeister,4,unsicher
4,35,Frau,Angestellter,Realschule,Ein leckerer Zusatz für viele Rezepte,7,wahrscheinlich
5,37,Frau,Hausfrau/-mann,Berufsakademie,vielfältig einzigartig bietet viele Anwendungsmöglichkeiten!!,7,ja
6,31,Frau,Arbeiter,Mittlere Reife,"Es ist ein wenig sauer, was man auf den ersten Blick gar nicht vermuten würde. Von der Konsistenz ist es eher flüssig. Die Anwendung ist einfach und der Sirup ist vielseitig einsetzbar.",6,unsicher
7,26,Herr,Student,Fachhochschule,"verfeinern, dekorieren, Farbe, Granatapfel",6,wahrscheinlich
8,43,Frau,Angestellter,Lehre,"Eine ungewöhnliche Geschmacksrichtung, bei der ich erstmalnachdenken musste, um sie in meine Kochgewohnheiten einzubeziehen.",4,wahrscheinlich_nicht
9,33,Frau,Angestellter,Fachgebundene Hochschulreife,mal was anderes,4,nein
10,44,Frau,Selbständig,Lehre,"Etwas vollkommen neues auch vom geschmack her,sehr vielseitig einsetzbar gut dosierbar,verleiht allen Speisen eine spezielle Note auch schon farblich und optisch ich bin begeistert",6,wahrscheinlich
11,29,Frau,Hausfrau/-mann,Grund-/Haupt-/Volksschule,Also das produkt ist lecker aber es ist für mihc sehr schwer was zu finden wozu man es benutzen kann.,4,unsicher
12,25,Frau,Student,Abitur (Matura),Das Produkt hat mir nicht gefallen.,3,nein
13,35,Frau,Angestellter,Abitur (Matura),vielseitig einsetzbar. Außergewöhnlicher Geschmack. experimentierfreudig sein,6,unsicher
14,44,Frau,Arbeitslos,Lehre,produkt ist lecker und vielseitig verwendbar,6,wahrscheinlich
15,29,Frau,Angestellter,Abitur (Matura),färbt schön rot. nicht für süße Gerichte geeingnet.,4,wahrscheinlich_nicht
16,31,Frau,Angestellter,Fachhochschule,"Sehr unschlüssig, ob ich dieses Produkt je kaufen werde.",4,wahrscheinlich_nicht
17,43,Frau,Angestellter,Mittlere Reife,"Neu, tolle Konsitenz, anderer Geschmack, tolle Farbe",5,unsicher
18,25,Frau,Auszubildender,Fachgebundene Hochschulreife,Wahnsinns Geschmack!,7,ja
19,29,Frau,Angestellter,Mittlere Reife,"Der BRAND Sirup ist eine kleine Küchenfee. 
Keine zig Flaschen mehr sondern ein Produkt, dass man für Desserts, Cocktails aber auch deftige Produkte verwenden kann. ",6,wahrscheinlich
20,40,Frau,Angestellter,Fachgebundene Hochschulreife,Sehr lecker und vielseitig einsetzbar,6,wahrscheinlich
21,32,Frau,Sonstiges,Lehre,"Es hat einen tollen Geschmack, süß und säuerlich, ist eine tolle Kombination und verweinert so toll die Gerichte. Egal ob als Deko oder darunter gemischt. Herlich
",6,unsicher
22,31,Frau,Hausfrau/-mann,Mittlere Reife,"-Sirup
-schmeckt gut
-toll als Deko geeignet",6,wahrscheinlich
23,30,Frau,Beamter,Realschule,"Der Geschmack ist frisch und mal etwas anderes, als das übliche 'Alltagszeug'. Und es ist vielseitig einsetzbar.",6,wahrscheinlich
24,30,Frau,Angestellter,Lehre,Brauch ich nicht.,4,wahrscheinlich_nicht
25,29,Herr,Student,Abitur (Matura),"Tolles, leckeres und interessantes Multifunktions-Nahrungsergänzungsmittel! ",6,wahrscheinlich
26,35,Frau,Hausfrau/-mann,Berufsakademie,Super zum verfeinern,6,ja
27,30,Frau,Angestellter,Universität,"rote Glut, etwas sauer",5,unsicher
28,40,Frau,Angestellter,Lehre,ein tolles geschmackserlebnis,6,wahrscheinlich
29,28,Frau,Angestellter,Lehre,"Ungewöhnliches Produkt, aber vielseitig einsetzbar und lecker.",7,ja
30,37,Herr,Auszubildender,Fachgebundene Hochschulreife,"Sehr lecker, perfekt zu dosieren, leicht süß, leicht sauer, pur und in Kombination ein Genuss, schönes rot, tolle Konsistenz",7,ja
31,40,Frau,Angestellter,Lehre,"lecker, vielseitig, gut zu verarbeiten",6,wahrscheinlich
32,32,Frau,Angestellter,Universität,"vielseitig, außergewöhnlich, fruchtig",5,wahrscheinlich
33,33,Frau,Angestellter,Fachhochschule,immernoch zu sauer,6,wahrscheinlich_nicht
34,29,Frau,Angestellter,Lehre,"Lecker, vielseitig einsetztbar und Interesantes Aussehen",6,wahrscheinlich
35,32,Frau,Arbeiter,Lehre,Ein interessanter Versuch,5,wahrscheinlich
36,29,Frau,Angestellter,Mittlere Reife,Es ist/war total neu für mich...ich finde es klasse....es ist sehr sauer....und ich würds mir kaufen. :-),7,ja
37,32,Frau,Angestellter,Abitur (Matura),SUPERLECKER... besonders im Sekt :),6,wahrscheinlich
38,42,Frau,Hausfrau/-mann,Lehre,Ein tolles und vor allem neues und vielseitiges Produkt. Man kann viel damit herumexperimentieren.,7,ja
39,31,Frau,Angestellter,Lehre,süß sauer,6,unsicher
40,33,Frau,Arbeiter,Realschule,"Lecker, individuell, mehrseitig Anwendbar, einfach in der Anwendung, neuwertig, top Produkt!",7,ja
41,28,Frau,Angestellter,Lehre,"Das Produkt ist sehr vielseitig einsetzbar, man kann es also mit vielen verschiedenen Gerichten und auch Getränken kombinieren. Das schöne ist, dass die Konsistenz je nach Lagerung (Kühlschrank oder Küchenschrank) unterschiedlich ist.

Das Produkt ist alltäglich einsetzbar. Sehr schön ist auch die knallige Farbe.",6,wahrscheinlich
42,38,Frau,Angestellter,Abitur (Matura),"Lecker, sauer, fruchtig, spritzig",7,wahrscheinlich
43,37,Frau,Beamter,Universität,"Mal was ganz neues, sehr vielseitig",6,wahrscheinlich
44,41,Frau,Arbeiter,Lehre,"super projekt, das ist echt eine tolle sache etwas geheimes zu testen",7,ja
45,28,Herr,Angestellter,Lehre,"mir fällt gerade kein anderes produkt ein, das so viel seitig einsetztbar ist wie dieses.",7,wahrscheinlich
46,28,Frau,Arbeitslos,Abitur (Matura),"Naja, ehrlichgesagt: ein Produkt das man nicht unbedingt braucht- hat mich nicht beeindruckt",3,nein
47,32,Frau,Angestellter,Lehre,Wow was für eine Farbe....,7,ja
48,25,Frau,Student,Lehre,Es war ein Produkt mit vielen Möglichkeiten! Lecker!,6,wahrscheinlich
49,35,Frau,Angestellter,Mittlere Reife,"völlig neu, vielseitig einsetzbar und geschmacklich echt mal was anders",6,ja
50,37,Frau,Angestellter,Fachhochschule,-,6,wahrscheinlich
51,27,Frau,Student,Abitur (Matura),Ich mag sauer =),5,wahrscheinlich
52,39,Frau,Angestellter,Realschule,"fruchtig, frisch - vielseitig einsetzbar ",6,wahrscheinlich
53,38,Frau,Hausfrau/-mann,Fachgebundene Hochschulreife,Eignet sich mehr als Sauce zu eis oder obstkreationen. Zu Fleisch oder Gemüse muss schon eher ein Abenteuererprobter Gaumen her;-),6,unsicher
54,36,Herr,Hausfrau/-mann,Fachgebundene Hochschulreife,Neu...einzigartig....verlangen nach Experimentieren,6,wahrscheinlich
55,35,Frau,Angestellter,Lehre,"Lecker, interessant ",5,unsicher
56,38,Herr,Angestellter,Abitur (Matura),"Ist sehr innovativ, schmeckt sehr gut und macht spass damit zu arbeiten. Lecker",7,ja
57,29,Frau,Angestellter,Lehre,"Aufregend was neues zu probieren, vielfältige Möglichkeiten der Verwendung..wir haben viel probiert mal mit mehr mal mit weniger erfolg",6,ja
58,41,Frau,Angestellter,Abitur (Matura),"Fruchtig, frisch und vielfältig...",7,wahrscheinlich
59,32,Frau,Arbeiter,Abitur (Matura),etwas zum verfeinern von süßem und getränken,6,wahrscheinlich
60,30,Frau,Angestellter,Lehre,Sehr vielseitig einsetzbar,5,unsicher
61,25,Frau,Angestellter,Abitur (Matura),pinkes Würzwunder,5,nein
62,36,Frau,Hausfrau/-mann,Mittlere Reife,Tolle Farbe sehr vielfältig verwendbar,5,unsicher
63,28,Frau,Angestellter,Abitur (Matura),Einzigartig und fruchtig,7,ja
64,32,Herr,Angestellter,Fachgebundene Hochschulreife,"Hammer Produkt, würde ich ohne Azo-Farbstoffe sofort kaufen.",6,ja
65,33,Herr,Selbständig,Fachgebundene Hochschulreife,"Gute Idee, viele Möglichkeiten, noch nicht Marktreif!",6,wahrscheinlich_nicht
66,39,Frau,Hausfrau/-mann,Berufsakademie,Ein recht langweiliges und überflüssiges Produkt.,2,nein
67,35,Frau,Angestellter,Universität,"Interessante Zusatzmöglichkeit als Balsamico, zum Speisenfärben und für Marinaden",5,wahrscheinlich
68,29,Frau,Angestellter,Mittlere Reife,unglaublich wie vielseitig der BRAND sirup ist,7,ja
69,32,Frau,Angestellter,Abitur (Matura),sehr interessant und abwechslungsreich,6,unsicher
70,25,Frau,Student,Abitur (Matura),"fruchtig sauer
rosa
lecker",6,unsicher
71,31,Frau,Angestellter,Abitur (Matura),Klasse Geschmack!,7,wahrscheinlich
