"id","age","sex","job","education","description","ProductImpression","PurchaseIntention","PurchaseNumeric","PurchaseProbability","descriptionclean","descriptionclean_en","sentiment_ger","sentiment_eng"
1,25,"Frau","Hausfrau/-mann","Realschule","lecker,aaber nichts für Kinder",5,"wahrscheinlich_nicht",2,0.05,"lecker, aber nichts für Kinder","tasty, but not for children",NA,NA
2,43,"Frau","Angestellter","Lehre","ich finde es überflüßig",3,"wahrscheinlich_nicht",2,0.05,"ich finde es überflüssig","I find it superfluous",-0.5154,-1
3,40,"Frau","Angestellter","Lehre","Für Feingeister",4,"unsicher",3,0.1,"Für Feingeister","For foodies",NA,NA
4,35,"Frau","Angestellter","Realschule","Ein leckerer Zusatz für viele Rezepte",7,"wahrscheinlich",4,0.25,"Ein leckerer Zusatz für viele Rezepte","A delicious addition to many recipes",NA,1
5,37,"Frau","Hausfrau/-mann","Berufsakademie","vielfältig einzigartig bietet viele Anwendungsmöglichkeiten!!",7,"ja",5,0.75,"vielfältig einzigartig bietet viele Anwendungsmöglichkeiten!!","versatile unique offers many applications!!!",0.1559,1
6,31,"Frau","Arbeiter","Mittlere Reife","Es ist ein wenig sauer, was man auf den ersten Blick gar nicht vermuten würde. Von der Konsistenz ist es eher flüssig. Die Anwendung ist einfach und der Sirup ist vielseitig einsetzbar.",6,"unsicher",3,0.1,"Es ist ein wenig sauer, was man auf den ersten Blick gar nicht vermuten würde. Von der Konsistenz ist es eher flüssig. Die Anwendung ist einfach und der Sirup ist vielseitig einsetzbar.","It is a little sour, which you would not suspect at first glance. From the consistency it is rather liquid. The application is easy and the syrup is versatile.",0.07945,0
7,26,"Herr","Student","Fachhochschule","verfeinern, dekorieren, Farbe, Granatapfel",6,"wahrscheinlich",4,0.25,"verfeinern, dekorieren, Farbe, Granatapfel","refine, decorate, color, pomegranate",0.004,1
8,43,"Frau","Angestellter","Lehre","Eine ungewöhnliche Geschmacksrichtung, bei der ich erstmalnachdenken musste, um sie in meine Kochgewohnheiten einzubeziehen.",4,"wahrscheinlich_nicht",2,0.05,"Eine ungewöhnliche Geschmacksrichtung, bei der ich erstmal nachdenken musste, um sie in meine Kochgewohnheiten einzubeziehen.","An unusual flavor that took some thought for me to incorporate into my cooking habits.",NA,-1
9,33,"Frau","Angestellter","Fachgebundene Hochschulreife","mal was anderes",4,"nein",1,0.01,"mal was anderes","something different",NA,NA
10,44,"Frau","Selbständig","Lehre","Etwas vollkommen neues auch vom geschmack her,sehr vielseitig einsetzbar gut dosierbar,verleiht allen Speisen eine spezielle Note auch schon farblich und optisch ich bin begeistert",6,"wahrscheinlich",4,0.25,"Etwas vollkommen neues auch vom Geschmack her,sehr vielseitig einsetzbar gut dosierbar,verleiht allen Speisen eine spezielle Note auch schon farblich und optisch ich bin begeistert","Something completely new also from the taste,very versatile can be used well dosed,gives all dishes a special touch also already colored and visually I am thrilled",0.187266666666667,1
